startphrase,ending,startphrase_lem,ending_lem,labels,qid,xid,simile,negation,intensification,negation all,not all
that's about as cute as a kitten playing with a puppy,It's very cute,that about as cute as a kitten playing with a puppy ,It very cute ,0,X3041,X3041_0,as-as,0,as as,aff,FALSE
that's about as cute as a naked hairless monkey,It's very ugly,that about as cute as a naked hairless monkey ,It very ugly ,1,X3041,X3041_1,as-as,as as,0,aff,FALSE
he's as lively as a party,He's very lively.,he as lively as a party ,He very lively . ,0,X3042,X3042_0,as-as,0,not,aff,FALSE
he's as lively as a corpse,He's not very lively at all.,he as lively as a corpse ,He not very lively at all . ,1,X3042,X3042_1,as-as,not,0,neg,TRUE
the vocalist had the voice of an angel that just drank a bottle of honey,The singer's voice sounded sweet,the vocalist have the voice of an angel that just drink a bottle of honey ,The singer voice sound sweet ,0,X3043,X3043_0,the-of,0,0,aff,FALSE
the vocalist had the voice of the devil after eating a ghost pepper,The singer's voice sounded rough,the vocalist have the voice of the devil after eat a ghost pepper ,The singer voice sound rough ,1,X3043,X3043_1,the-of,0,0,aff,FALSE
life is a roller coaster,Life has ups and downs,life be a roller coaster ,Life have ups and down ,0,X3044,X3044_0,,0,0,aff,FALSE
life is a straight edge,There are no surprises in life,life be a straight edge ,There be no surprise in life ,1,X3044,X3044_1,,0,0,aff,FALSE
he had the feet of a yeti,He had big feet.,he have the foot of a yeti ,He have big foot . ,0,X3045,X3045_0,the-of,0,0,aff,FALSE
he had the feet of a ballerina,He had small feet.,he have the foot of a ballerina ,He have small foot . ,1,X3045,X3045_1,the-of,0,0,aff,FALSE
the maid is a sprinter,The maid is efficient,the maid be a sprinter ,The maid be efficient ,0,X3046,X3046_0,,0,0,aff,FALSE
the maid is a walker,The maid is slow,the maid be a walker ,The maid be slow ,1,X3046,X3046_1,,0,0,aff,FALSE
i'm as brave as a lion,I'm brave,i be as brave as a lion ,I be brave ,0,X3047,X3047_0,as-as,0,as as,aff,FALSE
i'm as brave as a chicken,I'm cowardly,i be as brave as a chicken ,I be cowardly ,1,X3047,X3047_1,as-as,as as,0,aff,FALSE
that dog is a lump of coal.,That dog is lazy,that dog be a lump of coal . ,That dog be lazy ,0,X3048,X3048_0,,0,0,aff,FALSE
that dog is a ray of light.,That dog is energetic.,that dog be a ray of light . ,That dog be energetic . ,1,X3048,X3048_1,,0,0,aff,FALSE
the oak's tree shade was the largest umbrella ever,The oak tree provided a lot of shade,the oak tree shade be the largest umbrella ever ,The oak tree provide a lot of shade ,0,X3049,X3049_0,,0,0,aff,FALSE
the oak's tree shade was the smallest umbrella ever,The oak tree barely provided any shade,the oak tree shade be the smallest umbrella ever ,The oak tree barely provide any shade ,1,X3049,X3049_1,,0,0,aff,FALSE
the water is as calm as a chihuahua,The water current is wild,the water be as calm as a chihuahua ,The water current be wild ,0,X3050,X3050_0,as-as,0,0,aff,FALSE
the water is as calm as a a sleeping baby,The water current is tame,the water be as calm as a a sleeping baby ,The water current be tame ,1,X3050,X3050_1,as-as,0,0,aff,FALSE
the girl is feeling the happiness of a clam that has just finished making a world-class pearl,The girl is very happy,the girl be feel the happiness of a clam that have just finish make a world class pearl ,The girl be very happy ,0,X3051,X3051_0,the-of,0,not,aff,FALSE
the girl is feeling the happiness of a clam in a boiling pot of water,The girl is not happy,the girl be feel the happiness of a clam in a boiling pot of water ,The girl be not happy ,1,X3051,X3051_1,the-of,not,0,neg,TRUE
you're as talkative as a parrot,You're talkative,you 're as talkative as a parrot ,You 're talkative ,0,X3052,X3052_0,as-as,0,not,aff,FALSE
you're as talkative as a busted speaker,You're not talkative,you 're as talkative as a busted speaker ,You 're not talkative ,1,X3052,X3052_1,as-as,not,0,neg,TRUE
my shoes are swiss cheese.,My shoes are full of holes.,my shoe be swiss cheese . ,My shoe be full of hole . ,0,X3053,X3053_0,,0,0,aff,FALSE
my shoes are a million bucks.,My shoes are brand new.,my shoe be a million buck . ,My shoe be brand new . ,1,X3053,X3053_1,,0,0,aff,FALSE
the football players were as fragile as a diamond,The players were strong,the football player be as fragile as a diamond ,The player be strong ,0,X3054,X3054_0,as-as,0,0,aff,FALSE
the football players were as fragile as a straw house,The players were injury prone,the football player be as fragile as a straw house ,The player be injury prone ,1,X3054,X3054_1,as-as,0,0,aff,FALSE
this chair is as fragile as a flower,This chair is fragile,this chair be as fragile as a flower ,This chair be fragile ,0,X3055,X3055_0,as-as,0,as as,aff,FALSE
this chair is as fragile as a brick,This chair is quite sturdy,this chair be as fragile as a brick ,This chair be quite sturdy ,1,X3055,X3055_1,as-as,as as,0,aff,FALSE
the sculpture was as fragile as a teenage girl's emotional state after being dumped right before prom,The sculpture eas very fragile,the sculpture be as fragile as a teenage girl emotional state after be dump right before prom ,The sculpture eas very fragile ,0,X3056,X3056_0,as-as,0,not,aff,FALSE
the sculpture was as fragile as superman after destroying all kryptonite,The sculpture wasn't fragile at all,the sculpture be as fragile as superman after destroy all kryptonite ,The sculpture be not fragile at all ,1,X3056,X3056_1,as-as,not,0,neg,TRUE
the inside of this place is as bright as a cave,It's not bright at all,the inside of this place be as bright as a cave ,It not bright at all ,0,X3057,X3057_0,as-as,not,0,neg,TRUE
the inside of this place is as bright as a xenon lamp,It's very bright inside.,the inside of this place be as bright as a xenon lamp ,It very bright inside . ,1,X3057,X3057_1,as-as,0,not,aff,FALSE
the class today made me want to watch paint dry,The class was boring.,the class today make me want to watch paint dry ,The class be bore . ,0,X3058,X3058_0,,0,0,aff,FALSE
the class today made me want to write a book,The class was inspirational.,the class today make me want to write a book ,The class be inspirational . ,1,X3058,X3058_1,,0,0,aff,FALSE
the golf shot was as staight as a mountain road,The golf shot was crooked,the golf shot be as staight as a mountain road ,The golf shot be crook ,0,X3059,X3059_0,as-as,0,0,aff,FALSE
the golf shot was as staight as a 2x4,The golf shot was straight,the golf shot be as staight as a 2x4 ,The golf shot be straight ,1,X3059,X3059_1,as-as,0,0,aff,FALSE
the sickness was a severe as the common cold.,The sickness was not severe and would eventually pass without long-term effects.,the sickness be a severe as the common cold . ,The sickness be not severe and would eventually pass without long term effect . ,0,X3060,X3060_0,as,not,0,neg,TRUE
the sickness was a severe as a blood cancer.,The sickness was very severe and may be fatal.,the sickness be a severe as a blood cancer . ,The sickness be very severe and may be fatal . ,1,X3060,X3060_1,as,0,not,aff,FALSE
that soda tasted like soap mixed with garbage,The soda was bad.,that soda taste like soap mixed with garbage ,The soda be bad . ,0,X3061,X3061_0,like,0,0,aff,FALSE
that soda tasted like a dream,The soda tasted great.,that soda taste like a dream ,The soda taste great . ,1,X3061,X3061_1,like,0,0,aff,FALSE
the car was as loud as a pillow dropping,The car was quiet,the car be as loud as a pillow drop ,The car be quiet ,0,X3062,X3062_0,as-as,as as,0,aff,FALSE
the car was as loud as a marching band,The car was loud,the car be as loud as a marching band ,The car be loud ,1,X3062,X3062_1,as-as,0,as as,aff,FALSE
he had eyes like a hawk,He had great eyesight,he have eye like a hawk ,He have great eyesight ,0,X3063,X3063_0,like,0,0,aff,FALSE
he had eyes like a bat,He had terrible eyesight,he have eye like a bat ,He have terrible eyesight ,1,X3063,X3063_1,like,0,0,aff,FALSE
the a/c in the home was so cold that people coming in froze before they got all the way inside.,the A/C in the home was overly frigid.,the a/c in the home be so cold that people come in froze before they get all the way inside . ,the A/C in the home be overly frigid . ,0,X3064,X3064_0,,0,0,aff,FALSE
the a/c in the home was so cold that you instantly fell asleep in its comfort.,The A/C in the home was comfortable against a summer day.,the a/c in the home be so cold that you instantly fell asleep in its comfort . ,The A/C in the home be comfortable against a summer day . ,1,X3064,X3064_1,,0,0,aff,FALSE
that's as overpriced as the movie concession stand,It's very overpriced,that as overprice as the movie concession stand ,It very overprice ,0,X3065,X3065_0,as-as,0,not,aff,FALSE
that's as overpriced as the dollar store,It's not over priced.,that as overprice as the dollar store ,It not over price . ,1,X3065,X3065_1,as-as,not,0,neg,TRUE
the patient is a warrior,The patient is brave,the patient be a warrior ,The patient be brave ,0,X3066,X3066_0,,0,0,aff,FALSE
the patient is a crybaby,The patient is coward,the patient be a crybaby ,The patient be coward ,1,X3066,X3066_1,,0,0,aff,FALSE
the prices are as inflated as a balloon,The prices are very inflated.,the price be as inflate as a balloon ,The price be very inflated . ,0,X3067,X3067_0,as-as,0,not,aff,FALSE
the prices are as inflated as a popped balloon,The prices are not inflated at all.,the price be as inflate as a popped balloon ,The price be not inflate at all . ,1,X3067,X3067_1,as-as,not,0,neg,TRUE
it's about as fragile as a boulder,It's nor fragile at all,it be about as fragile as a boulder ,It nor fragile at all ,0,X3068,X3068_0,as-as,0,0,aff,FALSE
it's about as fragile as an eggshell,It's very fragile,it be about as fragile as an eggshell ,It very fragile ,1,X3068,X3068_1,as-as,0,0,aff,FALSE
the rate of inflation was that of a pinhole leak in a blimp,The rate of inflation is low,the rate of inflation be that of a pinhole leak in a blimp ,The rate of inflation be low ,0,X3069,X3069_0,,0,0,aff,FALSE
the rate of inflation was that of like a huge dam break,The rate of inflation is high,the rate of inflation be that of like a huge dam break ,The rate of inflation be high ,1,X3069,X3069_1,like,0,0,aff,FALSE
the inflation went as high as the moon shuttle,The inflation skyrocketed,the inflation go as high as the moon shuttle ,The inflation skyrocket ,0,X3070,X3070_0,as-as,0,not,aff,FALSE
the inflation went as high as the top of a kiddie pool,"The inflation was minimal, and not serious",the inflation go as high as the top of a kiddie pool ,The inflation be minimal and not serious ,1,X3070,X3070_1,as-as,not,0,neg,TRUE
it's about as straight as boomerang,It's not straight at all,it be about as straight as boomerang ,It not straight at all ,0,X3071,X3071_0,as-as,not,0,neg,TRUE
it's about as straight as ruler,It's completely straight,it be about as straight as ruler ,It completely straight ,1,X3071,X3071_1,as-as,0,not,aff,FALSE
the patient was as sick as a robust stallion,The patient is well,the patient be as sick as a robust stallion ,The patient be well ,0,X3072,X3072_0,as-as,0,0,aff,FALSE
the patient was as sick as typhoid mary on her worst day,The patient is very ill,the patient be as sick as typhoid mary on her worst day ,The patient be very ill ,1,X3072,X3072_1,as-as,0,0,aff,FALSE
the spy was as quiet as a mouse,The spy was very quiet,the spy be as quiet as a mouse ,The spy be very quiet ,0,X3073,X3073_0,as-as,0,as as,aff,FALSE
the spy was as quiet as a howler monkey,The spy was very loud and conspicuous,the spy be as quiet as a howler monkey ,The spy be very loud and conspicuous ,1,X3073,X3073_1,as-as,as as,0,aff,FALSE
it's as colorful as the rainbow,It's full of color,it be as colorful as the rainbow ,It full of color ,0,X3074,X3074_0,as-as,0,0,aff,FALSE
it's as colorful as an old movie,It's monotone,it be as colorful as an old movie ,It monotone ,1,X3074,X3074_1,as-as,0,0,neg,FALSE
the combat on the front that day was that of a gentle rain,The combat level is low,the combat on the front that day be that of a gentle rain ,The combat level be low ,0,X3075,X3075_0,the-of,0,0,aff,FALSE
the combat on the front that day was that of an angry hurricane,The combat level is very high and violent,the combat on the front that day be that of an angry hurricane ,The combat level be very high and violent ,1,X3075,X3075_1,the-of,0,0,aff,FALSE
the submarine faced the pressure of an artist trying to follow up a hit album,The submarine was under a lot of pressure,the submarine face the pressure of an artist try to follow up a hit album ,The submarine be under a lot of pressure ,0,X3076,X3076_0,the-of,0,0,aff,FALSE
the submarine faced the pressure of a spaceship after leaving the atmosphere,There was no pressure on the submarine,the submarine face the pressure of a spaceship after leave the atmosphere ,There be no pressure on the submarine ,1,X3076,X3076_1,the-of,0,0,aff,FALSE
the pressure on him felt like a ton of bricks,He was under a lot of pressure,the pressure on him felt like a ton of brick ,He be under a lot of pressure ,0,X3077,X3077_0,like,0,0,aff,FALSE
the pressure on him felt like a bag of feathers,He was under very little pressure,the pressure on him felt like a bag of feather ,He be under very little pressure ,1,X3077,X3077_1,like,0,0,aff,FALSE
